id,subjectId,dayOfWeek,startTime,endTime,room,className,lecturer,order,createdAt,updatedAt
schmnpi7gchu2gc6us1,cmm00t6490001m4kl70fgmap5,2,10:40,12:10,GE-4.02 / R. Kuliah,Internasional EE,"ROFILDE HASUDUNGAN S.Kom., M.Sc",0,2026-04-08T03:43:59.000Z,2026-04-08T03:43:59.000Z
schmnpi7gchcs8uv2a0,cmm8ojctv0000zoklh0mss6v7,2,07:20,08:50,GE-4.02 / R. Kuliah,Internasional EE1,"RUDIMAN S.Kom., M.Sc; NAUFAL AZMI VERDIKHA",1,2026-04-08T03:43:59.000Z,2026-04-08T03:43:59.000Z
schmnpi7gchbad1kdgg,cmm5xyhxt0000nsklv2wsy9rn,2,09:00,10:30,GE-4.02 / R. Kuliah,Internasional EE1,"ABDUL RAHIM S.Kom., M.Cs.",2,2026-04-08T03:43:59.000Z,2026-04-08T03:43:59.000Z
schmnpi7gchg8avl3p0,cmmbkprov00001kklmdhapbui,3,10:40,12:10,GE-4.02 / R. Kuliah,Internasional EE,"ROFILDE HASUDUNGAN S.Kom., M.Sc",3,2026-04-08T03:43:59.000Z,2026-04-08T03:43:59.000Z
schmnpi7gchsejmo0bq,cmm4g25190000cckl6x04a95b,5,13:00,14:30,GE-4.02 / R. Kuliah,Internasional EE,"ROFILDE HASUDUNGAN S.Kom., M.Sc",4,2026-04-08T03:43:59.000Z,2026-04-08T03:43:59.000Z
schmnpi7gchg4l6maae,cmm5v4a680000csklypek9mk9,5,10:40,12:10,GE-4.02 / R. Kuliah,Internasional EE1,"ABDUL RAHIM S.Kom., M.Cs.",5,2026-04-08T03:43:59.000Z,2026-04-08T03:43:59.000Z
schmnpi7gchg6fjwwhr,submnpi7gcf0qtkpjy8,6,15:00,16:40,Lapangan DD1,Internasional EE1,NAUFAL AZMI VERDIKHA,6,2026-04-08T03:43:59.000Z,2026-04-08T03:43:59.000Z
